Yazici_Modeli,Nozzle_Capi,Katman_Yuksekligi,Nozzle_Sicakligi,Yatak_Sicakligi,Ortam_Sicakligi,Baski_Hizi,Filament_Tipi,Doluluk_Orani,Doluluk_Deseni,Utuleme,Destek_Tipi,Hata_Detayi,Baski_Durumu
Bambu Lab P1S Combo,0.4,0.08,253,98,50,,Recine_UV,20,Lightning,0,Yok,Basarili,1
Method,0.4,0.12,265,89,38,74.0,Recine_UV,63,Grid,0,Tree,Basarili,1
Ender-3 V2,0.8,0.2,250,48,21,,PETG,13,Cubic,1,Normal,Basarili,1
Creality K1 Max,0.8,0.2,229,65,51,443.0,Recine_UV,73,Grid,0,Yok,Basarili,1
LD-006H,0.8,0.08,245,42,53,319.0,PETG,14,Grid,1,Yok,Hatali Malzeme (Reçine Cihazi),0
Original Prusa MK2S,0.4,0.16,193,86,20,224.0,PLA,98,Lightning,1,Normal,Basarili,1
Bambu Lab P1S Combo,0.2,0.2,220,44,40,94.0,PETG,11,Gyroid,0,Yok,Basarili,1
Bambu Lab A1 Mini Combo,0.8,0.2,216,101,22,432.0,PLA,97,Gyroid,0,Yok,Basarili,1
Ender-3 V2,0.4,0.28,247,44,46,133.0,ASA,70,Lightning,0,Yok,Warping (Kasa Acik),0
Ender-3 Pro,0.8,0.12,214,49,26,183.0,ABS,24,Lightning,0,Normal,Warping (Kasa Acik),0
Bambu Lab A1,0.8,0.16,258,102,52,286.0,Recine_UV,67,Grid,0,Normal,Basarili,1
Ender-3 V3 KE,0.6,0.12,259,64,28,239.0,TPU,8,Cubic,1,Yok,Basarili,1
X-Plus,0.4,0.16,194,83,49,275.0,PLA,32,Grid,0,Normal,Basarili,1
Ender-3 V3 SE,0.4,0.2,197,64,37,353.0,Recine_UV,76,Grid,0,Normal,Tikanma (Yetersiz Akis),0
Original Prusa XL,0.6,0.28,198,69,45,359.0,TPU,39,Cubic,1,Tree,Tikanma (Yetersiz Akis),0
Bambu Lab P1S,0.4,0.12,204,53,39,,TPU,6,Gyroid,0,Tree,Basarili,1
Ender-3 V3 KE,0.4,0.2,196,82,57,371.0,ABS,45,Grid,0,Tree,Tikanma (Yetersiz Akis),0
Bambu Lab P1S,0.4,0.16,261,67,50,410.0,ASA,32,Gyroid,0,Tree,Warping (Soguk Yatak),0
Bambu Lab X1 Carbon,0.8,0.12,204,58,27,255.0,ASA,79,Gyroid,0,Yok,Warping (Soguk Yatak),0
Photon Mono X2,0.4,0.12,226,81,42,88.0,PETG,77,Gyroid,1,Yok,Hatali Malzeme (Reçine Cihazi),0
Bambu Lab X1 Carbon,0.4,0.2,272,59,44,324.0,Recine_UV,5,Grid,1,Yok,Basarili,1
Form Auto,0.2,0.12,228,50,20,157.0,ASA,31,Cubic,0,Normal,Hatali Malzeme (Reçine Cihazi),0
Creality K1C,0.4,0.28,195,93,37,121.0,ABS,71,Cubic,0,Yok,Basarili,1
SV08,0.8,0.28,272,63,38,302.0,Recine_UV,43,Gyroid,0,Normal,Basarili,1
Bambu Lab A1,0.4,0.2,246,109,25,116.0,TPU,77,Gyroid,1,Yok,Basarili,1
CR-6 SE,0.4,0.16,270,56,36,250.0,PLA,44,Cubic,0,Yok,Basarili,1
Creality K1 Max,0.6,0.2,208,67,27,161.0,PLA,32,Lightning,0,Yok,Basarili,1
Bambu Lab P1S Combo,0.6,0.28,252,89,28,364.0,ASA,89,Lightning,0,Tree,Basarili,1
Bambu Lab P1S,0.4,0.08,220,94,56,129.0,PETG,96,Gyroid,1,Yok,Basarili,1
Bambu Lab P1S Combo,0.6,0.08,264,112,46,297.0,PLA,28,Cubic,0,Tree,Basarili,1
Kobra 3 Combo,0.4,0.12,268,49,55,200.0,PETG,86,Lightning,0,Yok,Basarili,1
Bambu Lab P1S Combo,0.4,0.12,199,60,25,215.0,PLA,55,Cubic,1,Normal,Basarili,1
Foto 6.0,0.6,0.08,276,97,25,332.0,PETG,60,Grid,0,Yok,Hatali Malzeme (Reçine Cihazi),0
Bambu Lab A1 Combo,0.6,0.28,256,73,23,128.0,PETG,77,Gyroid,0,Yok,Basarili,1
Bambu Lab A1 Mini Combo,0.6,0.12,251,82,41,166.0,TPU,30,Lightning,0,Tree,Basarili,1
Ender-3 V3 KE,0.8,0.2,192,50,59,398.0,ABS,92,Gyroid,1,Yok,Tikanma (Yetersiz Akis),0
Ender-3 V3 SE,0.4,0.2,207,72,46,325.0,PLA,56,Grid,0,Yok,Tikanma (Yetersiz Akis),0
Original Prusa MK4,0.4,0.28,214,97,56,336.0,Recine_UV,10,Cubic,0,Normal,Tikanma (Yetersiz Akis),0
Bambu Lab A1 Mini,0.6,0.12,209,85,21,299.0,ASA,63,Gyroid,0,Tree,Warping (Kasa Acik),0
HALOT-One,0.4,0.2,247,100,28,378.0,ABS,16,Lightning,1,Tree,Hatali Malzeme (Reçine Cihazi),0
Sidewinder X3,0.6,0.12,275,101,30,283.0,TPU,67,Grid,0,Tree,Basarili,1
Creator Pro,0.6,0.12,239,40,39,150.0,TPU,40,Lightning,0,Normal,Basarili,1
X5SA-400,0.6,0.2,268,60,58,63.0,TPU,13,Cubic,0,Yok,Basarili,1
Bambu Lab P1S,0.4,0.08,199,101,33,,ASA,78,Lightning,0,Normal,Basarili,1
Creality K1 Max,0.4,0.2,210,103,45,76.0,PLA,71,Lightning,1,Normal,Basarili,1
Bambu Lab A1 Combo,0.2,0.28,218,112,57,220.0,PLA,33,Lightning,0,Yok,Basarili,1
Bambu Lab P1S,0.4,0.16,199,95,49,292.0,PETG,75,Grid,1,Normal,Basarili,1
Anycubic Kobra 2 Pro,0.2,0.2,202,40,55,64.0,PETG,94,Lightning,1,Yok,Basarili,1
Elegoo Neptune 4 Pro,0.4,0.12,236,60,57,388.0,Recine_UV,12,Lightning,1,Yok,Basarili,1
Bambu Lab A1 Mini,0.4,0.12,212,61,54,164.0,PETG,47,Grid,0,Yok,Basarili,1
Anycubic Kobra 2 Pro,0.4,0.2,239,93,25,70.0,ASA,81,Grid,0,Yok,Warping (Kasa Acik),0
Ender-3 V3 SE,0.4,0.16,276,43,22,276.0,ABS,39,Grid,0,Normal,Warping (Kasa Acik),0
Bambu Lab P1S Combo,0.2,0.2,193,104,20,266.0,PLA,87,Cubic,1,Yok,Basarili,1
Adventurer 4,0.2,0.16,256,90,37,387.0,PETG,26,Grid,1,Yok,Basarili,1
Ender-3 V3 SE,0.6,0.16,274,113,42,77.0,ASA,84,Cubic,0,Yok,Warping (Kasa Acik),0
Elegoo Neptune 4 Pro,0.4,0.28,242,102,51,422.0,ASA,83,Grid,1,Yok,Warping (Kasa Acik),0
Creality K1 Max,0.4,0.12,191,54,48,,Recine_UV,70,Grid,1,Yok,Basarili,1
Mars,0.4,0.12,257,75,42,275.0,PETG,25,Gyroid,1,Tree,Hatali Malzeme (Reçine Cihazi),0
Ender-3 V2,0.6,0.16,254,68,55,220.0,Recine_UV,98,Gyroid,0,Yok,Basarili,1
Bambu Lab A1 Mini Combo,0.4,0.12,268,91,25,153.0,TPU,75,Gyroid,1,Yok,Basarili,1
Bambu Lab A1,0.4,0.08,246,85,36,345.0,TPU,99,Gyroid,1,Normal,Basarili,1
Bambu Lab P1S,0.2,0.16,259,108,37,171.0,TPU,45,Grid,0,Tree,Basarili,1
Bambu Lab A1 Mini,0.2,0.12,196,68,50,387.0,PETG,45,Grid,1,Yok,Tikanma (Yetersiz Akis),0
Kobra S1 Combo,0.4,0.08,208,86,25,219.0,ASA,53,Cubic,0,Tree,Warping (Kasa Acik),0
Bambu Lab A1 Mini,0.4,0.28,233,64,53,117.0,ASA,8,Grid,0,Tree,Warping (Kasa Acik),0
Bambu Lab P1S Combo,0.4,0.12,252,55,46,259.0,PLA,69,Cubic,1,Yok,Basarili,1
Elegoo Neptune 4 Pro,0.6,0.08,254,80,55,181.0,TPU,14,Lightning,0,Normal,Basarili,1
HALOT-SKY 2025,0.8,0.2,228,104,44,424.0,PETG,98,Lightning,1,Yok,Hatali Malzeme (Reçine Cihazi),0
Ender-3 V2,0.4,0.2,272,108,29,82.0,PLA,71,Grid,0,Yok,Basarili,1
Guider 3,0.4,0.08,215,59,58,157.0,ASA,14,Lightning,0,Yok,Warping (Kasa Acik),0
Ender-3 V3 KE,0.6,0.16,233,108,58,98.0,PLA,77,Grid,0,Tree,Basarili,1
T1 Pro,0.4,0.16,201,75,31,100.0,TPU,21,Cubic,0,Normal,Basarili,1
Creality K1C,0.4,0.12,211,97,30,80.0,ABS,71,Gyroid,1,Yok,Basarili,1
Bambu Lab A1 Mini Combo,0.2,0.2,266,87,22,313.0,TPU,95,Lightning,0,Yok,Basarili,1
Hornet,0.2,0.16,203,41,41,227.0,TPU,57,Grid,0,Yok,Basarili,1
Bambu Lab A1 Mini,0.8,0.16,275,68,23,374.0,PETG,39,Gyroid,0,Yok,Basarili,1
Bambu Lab A1,0.6,0.2,219,55,27,226.0,ABS,8,Cubic,1,Tree,Warping (Kasa Acik),0
Bambu Lab A1 Mini Combo,0.4,0.28,233,74,33,267.0,Recine_UV,72,Grid,0,Normal,Basarili,1
Ultimaker 3,0.4,0.16,273,101,39,203.0,ABS,15,Lightning,1,Yok,Warping (Kasa Acik),0
Bambu Lab A1 Combo,0.4,0.08,227,43,43,325.0,ABS,48,Cubic,0,Yok,Warping (Kasa Acik),0
Bambu Lab A1 Mini Combo,0.4,0.12,248,107,33,141.0,ASA,64,Grid,0,Tree,Warping (Kasa Acik),0
Creality K1C,0.4,0.16,231,90,47,306.0,PLA,74,Lightning,1,Tree,Basarili,1
Creality K1C,0.4,0.16,241,72,35,163.0,ASA,66,Cubic,0,Yok,Warping (Soguk Yatak),0
Adventurer 5M Pro,0.6,0.28,252,63,51,192.0,Recine_UV,36,Cubic,0,Yok,Basarili,1
Original Prusa MK2S,0.4,0.08,250,114,31,218.0,ABS,50,Gyroid,1,Yok,Warping (Kasa Acik),0
T1,0.4,0.12,223,64,35,105.0,PETG,27,Gyroid,0,Tree,Basarili,1
Elegoo Neptune 4 Pro,0.8,0.16,228,67,38,138.0,Recine_UV,41,Gyroid,1,Yok,Basarili,1
Creality K1C,0.6,0.12,230,46,24,63.0,TPU,94,Grid,1,Yok,Basarili,1
Creality K1 Max,0.4,0.2,226,75,31,372.0,TPU,79,Cubic,0,Yok,Basarili,1
N2,0.4,0.16,254,49,48,288.0,ASA,62,Gyroid,0,Yok,Warping (Kasa Acik),0
Voron 0.1,0.4,0.16,268,75,24,204.0,Recine_UV,89,Lightning,0,Normal,Basarili,1
Voron Switchwire,0.4,0.2,221,57,36,423.0,ASA,47,Grid,1,Yok,Tikanma (Yetersiz Akis),0
Ender-3 V2,0.4,0.28,197,45,27,133.0,PETG,92,Gyroid,1,Yok,Basarili,1
Mega Pro,0.6,0.16,207,46,59,382.0,TPU,19,Grid,0,Yok,Tikanma (Yetersiz Akis),0
Creality K1 Max,0.2,0.12,234,51,59,,ASA,71,Cubic,0,Yok,Warping (Soguk Yatak),0
Creality K1 Max,0.4,0.08,222,80,49,341.0,PLA,6,Lightning,0,Yok,Tikanma (Yetersiz Akis),0
Ender-3 Max Neo,0.2,0.12,194,102,29,195.0,ASA,75,Cubic,0,Tree,Warping (Kasa Acik),0
Bambu Lab A1 Combo,0.2,0.28,271,64,39,388.0,ASA,9,Lightning,0,Yok,Warping (Kasa Acik),0
Original Prusa MK4,0.6,0.08,263,92,35,288.0,ABS,57,Cubic,1,Yok,Warping (Kasa Acik),0
Elegoo Neptune 4 Pro,0.6,0.12,225,72,35,310.0,PLA,49,Grid,1,Tree,Basarili,1
Kobra 3,0.4,0.12,212,112,22,97.0,PLA,97,Cubic,1,Tree,Basarili,1
Anycubic Kobra 2 Pro,0.2,0.2,229,45,42,234.0,PETG,45,Lightning,0,Yok,Basarili,1
Bambu Lab P1S Combo,0.4,0.28,194,101,41,240.0,ABS,67,Grid,1,Yok,Basarili,1
Ender-3 V3 KE,0.4,0.2,223,105,47,111.0,PLA,98,Grid,1,Tree,Basarili,1
Bambu Lab P1S,0.4,0.08,213,48,55,286.0,ABS,76,Lightning,0,Yok,Basarili,1
Bambu Lab A1 Combo,0.4,0.2,206,106,23,137.0,ABS,36,Lightning,0,Tree,Warping (Kasa Acik),0
Chiron,0.4,0.28,260,55,57,368.0,TPU,6,Grid,1,Tree,Basarili,1
Original Prusa MK4,0.4,0.16,270,94,43,120.0,PLA,14,Lightning,1,Normal,Basarili,1
Bambu Lab A1 Combo,0.4,0.16,211,79,38,104.0,TPU,47,Cubic,0,Yok,Basarili,1
Bambu Lab A1 Mini,0.2,0.08,204,65,30,44.0,ASA,47,Cubic,0,Yok,Warping (Kasa Acik),0
Ender-3 V2,0.4,0.16,204,77,59,323.0,ASA,71,Cubic,0,Tree,Tikanma (Yetersiz Akis),0
Bambu Lab A1,0.4,0.2,214,74,59,333.0,TPU,27,Grid,1,Tree,Tikanma (Yetersiz Akis),0
Dreamer NX,0.4,0.08,242,107,58,120.0,ASA,86,Cubic,1,Yok,Warping (Kasa Acik),0
Ender-3 V3 SE,0.6,0.28,210,98,37,126.0,TPU,64,Grid,0,Yok,Basarili,1
CR-5 Pro,0.4,0.08,255,53,31,441.0,PETG,85,Lightning,0,Normal,Basarili,1
Anycubic Kobra 2 Pro,0.4,0.08,221,86,33,332.0,ABS,10,Cubic,1,Tree,Tikanma (Yetersiz Akis),0
Ender-3 V2,0.2,0.12,210,110,37,,PETG,17,Grid,1,Tree,Tikanma (Yetersiz Akis),0
Bambu Lab A1 Mini,0.4,0.12,257,111,31,236.0,PLA,25,Gyroid,1,Yok,Basarili,1
Creality K1C,0.2,0.08,233,81,59,291.0,PETG,99,Cubic,1,Yok,Basarili,1
H2D Laser AMS Combo,0.4,0.16,272,90,46,122.0,PETG,62,Cubic,0,Yok,Basarili,1
Ender-3 V3 KE,0.8,0.12,255,58,25,66.0,ASA,89,Grid,1,Tree,Warping (Kasa Acik),0
Bambu Lab A1 Combo,0.4,0.28,279,105,43,372.0,Recine_UV,32,Grid,0,Yok,Basarili,1
Bambu Lab A1,0.4,0.2,203,86,52,221.0,Recine_UV,74,Lightning,1,Tree,Basarili,1
Ender-3 V2,0.4,0.12,204,104,35,174.0,TPU,12,Grid,0,Yok,Basarili,1
Bambu Lab P1S Combo,0.4,0.08,209,81,31,129.0,PLA,81,Lightning,1,Yok,Basarili,1
Ender-3 V3 SE,0.4,0.16,223,77,50,245.0,Recine_UV,62,Gyroid,1,Normal,Basarili,1
Ender-3 V2,0.8,0.2,225,52,56,66.0,ASA,44,Lightning,0,Tree,Warping (Kasa Acik),0
Anycubic Kobra 2 Pro,0.4,0.12,272,83,32,417.0,PLA,90,Cubic,0,Yok,Basarili,1
K2 SE,0.8,0.16,198,63,27,98.0,ABS,5,Grid,0,Yok,Warping (Kasa Acik),0
Original Prusa MK4,0.8,0.16,260,69,57,111.0,TPU,81,Gyroid,1,Normal,Basarili,1
Creality K1 Max,0.4,0.16,219,109,22,266.0,ASA,69,Gyroid,1,Tree,Basarili,1
Bambu Lab P1S Combo,0.2,0.08,266,77,39,130.0,PETG,14,Grid,1,Normal,Basarili,1
Bambu Lab A1,0.4,0.28,252,62,23,107.0,ABS,64,Cubic,0,Yok,Warping (Kasa Acik),0
Ultimaker 3,0.2,0.16,224,113,21,401.0,PETG,73,Grid,0,Normal,Tikanma (Yetersiz Akis),0
Ender-3 V2,0.2,0.2,202,96,55,299.0,Recine_UV,24,Grid,0,Tree,Basarili,1
Bambu Lab A1,0.4,0.12,268,62,42,185.0,PLA,66,Grid,0,Tree,Basarili,1
QQ-S Pro,0.2,0.2,235,75,38,102.0,ABS,17,Lightning,0,Normal,Warping (Kasa Acik),0
Bambu Lab A1 Mini Combo,0.4,0.08,245,96,59,382.0,ASA,62,Gyroid,1,Tree,Basarili,1
HALOT-One,0.6,0.08,198,40,27,219.0,PETG,41,Gyroid,0,Yok,Hatali Malzeme (Reçine Cihazi),0
Bambu Lab X1 Carbon,0.2,0.2,276,111,35,150.0,Recine_UV,14,Cubic,1,Yok,Basarili,1
Super Racer,0.6,0.28,225,42,37,230.0,PETG,7,Gyroid,0,Tree,Basarili,1
Form 1,0.4,0.08,192,53,55,435.0,PLA,38,Grid,0,Yok,Tikanma (Yetersiz Akis),0
Original Prusa MK4,0.4,0.08,208,73,43,431.0,PLA,38,Gyroid,0,Tree,Tikanma (Yetersiz Akis),0
Mars 3 Pro,0.4,0.2,217,109,20,285.0,Recine_UV,34,Cubic,0,Yok,Basarili,1
Creality K1C,0.4,0.08,212,108,20,317.0,TPU,41,Lightning,1,Yok,Tikanma (Yetersiz Akis),0
Ender-3 S1 Pro,0.6,0.28,196,90,55,386.0,Recine_UV,72,Lightning,0,Yok,Tikanma (Yetersiz Akis),0
Ender-3 V3 KE,0.6,0.28,265,68,30,411.0,TPU,38,Grid,0,Yok,Basarili,1
Bambu Lab A1 Mini,0.6,0.28,203,87,37,336.0,Recine_UV,36,Grid,1,Normal,Tikanma (Yetersiz Akis),0
Bambu Lab A1,0.4,0.12,235,55,35,376.0,Recine_UV,89,Gyroid,1,Yok,Basarili,1
LD-002R,0.4,0.28,204,96,36,162.0,PLA,62,Gyroid,0,Yok,Hatali Malzeme (Reçine Cihazi),0
Original Prusa MK4,0.6,0.28,256,49,43,96.0,TPU,28,Cubic,0,Tree,Basarili,1
Elegoo Neptune 4 Pro,0.6,0.12,204,58,53,199.0,Recine_UV,13,Grid,0,Yok,Basarili,1
Bambu Lab A1 Combo,0.8,0.16,240,106,23,166.0,PETG,45,Cubic,0,Tree,Basarili,1
Bambu Lab A1 Mini,0.4,0.08,277,75,54,264.0,PLA,28,Lightning,0,Yok,Basarili,1
Bambu Lab A1 Mini Combo,0.4,0.28,197,43,34,134.0,ABS,29,Gyroid,1,Yok,Basarili,1
Bambu Lab A1 Mini,0.6,0.08,258,114,21,350.0,PLA,40,Grid,0,Yok,Basarili,1
Creality K1 Max,0.4,0.2,251,72,50,,Recine_UV,12,Gyroid,0,Normal,Basarili,1
Original Prusa MK4,0.8,0.08,240,67,28,304.0,ASA,97,Grid,0,Tree,Warping (Kasa Acik),0
CR-10 S5,0.6,0.12,252,48,29,273.0,ASA,93,Lightning,1,Tree,Warping (Kasa Acik),0
Ender-3 V3 SE,0.4,0.08,257,114,44,,PLA,63,Cubic,0,Yok,Basarili,1
Creality K1C,0.6,0.08,267,45,24,423.0,ABS,39,Grid,0,Normal,Warping (Soguk Yatak),0
Bambu Lab P1S Combo,0.6,0.08,205,88,33,55.0,PLA,42,Gyroid,0,Yok,Basarili,1
Ender-3 V2,0.4,0.16,273,61,57,179.0,ABS,96,Grid,0,Tree,Warping (Kasa Acik),0
Ender-3 V3,0.8,0.16,213,87,59,336.0,Recine_UV,87,Cubic,0,Tree,Tikanma (Yetersiz Akis),0
Ender-3 V2,0.4,0.2,195,60,21,234.0,PETG,36,Lightning,0,Yok,Basarili,1
Anycubic Kobra 2 Pro,0.6,0.12,246,72,37,225.0,PETG,55,Gyroid,0,Yok,Basarili,1
Anycubic Kobra 2 Pro,0.4,0.08,220,95,48,432.0,ABS,32,Lightning,0,Yok,Tikanma (Yetersiz Akis),0
Guider 2,0.6,0.08,195,68,39,164.0,TPU,60,Lightning,0,Tree,Basarili,1
Bambu Lab A1 Mini Combo,0.4,0.08,268,92,27,56.0,PETG,12,Cubic,1,Tree,Basarili,1
Method,0.2,0.08,218,79,56,405.0,ASA,45,Grid,0,Tree,Tikanma (Yetersiz Akis),0
Bambu Lab A1 Mini Combo,0.8,0.16,256,113,45,428.0,PLA,27,Grid,1,Normal,Basarili,1
Bambu Lab A1 Combo,0.2,0.2,264,57,56,65.0,Recine_UV,58,Grid,0,Normal,Basarili,1
Creality K1 Max,0.4,0.28,192,86,23,252.0,TPU,27,Grid,1,Yok,Basarili,1
Bambu Lab A1,0.8,0.12,217,52,52,424.0,ASA,36,Gyroid,0,Normal,Tikanma (Yetersiz Akis),0
Pro2 Plus,0.8,0.08,263,66,41,40.0,PLA,14,Lightning,0,Yok,Basarili,1
Bambu Lab A1 Combo,0.4,0.2,237,101,25,330.0,ASA,85,Grid,1,Tree,Warping (Kasa Acik),0
Ender-3 V2,0.4,0.28,269,113,52,,TPU,39,Lightning,1,Yok,Basarili,1
Finder,0.4,0.2,199,84,47,382.0,ABS,67,Gyroid,1,Yok,Tikanma (Yetersiz Akis),0
Ender-3 V3 KE,0.4,0.16,222,42,43,77.0,PLA,71,Gyroid,1,Tree,Basarili,1
Anycubic Kobra 2 Pro,0.4,0.28,256,61,23,272.0,ASA,40,Gyroid,0,Tree,Warping (Kasa Acik),0
Bambu Lab A1,0.4,0.2,258,66,21,299.0,Recine_UV,97,Lightning,0,Normal,Basarili,1
Ender-3 S1,0.6,0.16,201,94,32,347.0,Recine_UV,53,Grid,0,Tree,Tikanma (Yetersiz Akis),0
K2 SE,0.6,0.2,246,106,30,442.0,ASA,50,Lightning,0,Tree,Warping (Kasa Acik),0
Elegoo Neptune 4 Pro,0.6,0.2,233,72,54,300.0,TPU,31,Grid,1,Yok,Basarili,1
Anycubic Kobra 2 Pro,0.2,0.28,202,41,58,277.0,TPU,35,Cubic,0,Yok,Basarili,1
QQ-S Pro,0.4,0.16,213,114,29,145.0,Recine_UV,38,Grid,1,Tree,Basarili,1
Ender-3 V3 SE,0.2,0.08,233,85,29,286.0,Recine_UV,80,Grid,0,Tree,Basarili,1
Creality K1C,0.4,0.12,246,113,27,,TPU,63,Grid,0,Yok,Basarili,1
Bambu Lab X1 Carbon,0.4,0.28,205,72,24,382.0,ABS,58,Gyroid,0,Yok,Tikanma (Yetersiz Akis),0
Anycubic Kobra 2 Pro,0.6,0.16,210,97,42,77.0,PETG,93,Cubic,0,Tree,Basarili,1
N1,0.4,0.2,265,46,53,347.0,ASA,70,Grid,1,Tree,Warping (Kasa Acik),0
Creality K1 Max,0.4,0.16,240,54,51,382.0,ABS,34,Cubic,1,Yok,Warping (Soguk Yatak),0
X-Max II,0.4,0.12,210,65,35,85.0,ASA,77,Lightning,0,Yok,Warping (Kasa Acik),0
Elegoo Neptune 4 Pro,0.6,0.12,249,50,23,249.0,Recine_UV,27,Lightning,1,Tree,Basarili,1
K2 Pro Combo,0.4,0.08,240,77,47,132.0,ABS,13,Gyroid,0,Yok,Warping (Kasa Acik),0
Ender-3 V2,0.4,0.08,210,66,33,259.0,Recine_UV,88,Lightning,1,Yok,Basarili,1
Bambu Lab A1 Mini,0.2,0.12,195,46,31,295.0,Recine_UV,59,Cubic,0,Normal,Basarili,1
Bambu Lab A1 Mini Combo,0.6,0.28,262,40,40,176.0,Recine_UV,5,Cubic,0,Yok,Basarili,1
Ultimaker S5,0.2,0.28,254,113,35,270.0,PLA,60,Cubic,0,Yok,Basarili,1
Form 3,0.6,0.2,265,60,21,345.0,PETG,43,Cubic,0,Yok,Hatali Malzeme (Reçine Cihazi),0
Ender-3 V3 SE,0.6,0.08,247,69,42,241.0,Recine_UV,91,Cubic,0,Yok,Basarili,1
Bambu Lab A1,0.2,0.2,267,47,48,105.0,ASA,22,Gyroid,0,Tree,Warping (Kasa Acik),0
Neptune 4,0.2,0.08,195,42,28,77.0,TPU,46,Grid,0,Normal,Basarili,1
Bambu Lab P1S,0.8,0.12,254,94,26,194.0,PETG,77,Lightning,0,Yok,Basarili,1
Bambu Lab A1,0.4,0.28,275,54,48,144.0,ASA,79,Cubic,1,Yok,Warping (Kasa Acik),0
Ender-3 V2,0.4,0.28,223,75,36,294.0,PLA,69,Lightning,1,Yok,Basarili,1
Ender-3 V2,0.6,0.12,245,45,28,443.0,Recine_UV,79,Gyroid,1,Yok,Basarili,1
Mega S,0.8,0.2,264,81,25,55.0,ASA,37,Gyroid,0,Tree,Basarili,1
K2,0.8,0.2,192,89,39,118.0,ASA,34,Grid,0,Yok,Warping (Kasa Acik),0
CR-5 Pro H,0.6,0.16,231,57,29,52.0,ASA,9,Gyroid,0,Yok,Basarili,1
Ender-3 V3 SE,0.4,0.08,251,89,28,409.0,PETG,54,Grid,0,Tree,Basarili,1
Elegoo Neptune 4 Pro,0.2,0.2,195,69,31,,Recine_UV,69,Cubic,0,Yok,Basarili,1
T1,0.6,0.12,195,78,52,443.0,ASA,14,Gyroid,0,Yok,Tikanma (Yetersiz Akis),0
Original Prusa MK4,0.4,0.2,252,51,51,191.0,TPU,64,Lightning,0,Tree,Basarili,1
Sidewinder X3,0.4,0.28,209,98,53,217.0,Recine_UV,81,Gyroid,0,Tree,Basarili,1
Jupiter SE,0.8,0.08,210,83,38,430.0,ABS,31,Gyroid,0,Tree,Tikanma (Yetersiz Akis),0
Photon Mono,0.4,0.16,191,43,52,126.0,TPU,76,Cubic,1,Normal,Hatali Malzeme (Reçine Cihazi),0
Bambu Lab X1 Carbon,0.4,0.08,279,75,35,127.0,PLA,32,Grid,1,Tree,Basarili,1
Creality K1 Max,0.2,0.28,279,87,42,68.0,PETG,49,Grid,0,Tree,Basarili,1
Creality K1 Max,0.4,0.28,245,53,45,428.0,ABS,56,Gyroid,0,Yok,Warping (Soguk Yatak),0
Bambu Lab X1 Carbon,0.2,0.28,199,88,56,402.0,PETG,70,Lightning,1,Normal,Tikanma (Yetersiz Akis),0
Original Prusa MK4,0.4,0.28,276,106,28,360.0,PETG,66,Gyroid,1,Yok,Basarili,1
Bambu Lab P1S,0.4,0.12,259,48,49,139.0,ASA,80,Lightning,1,Normal,Warping (Soguk Yatak),0
Bambu Lab A1,0.4,0.16,212,60,32,154.0,TPU,95,Cubic,0,Yok,Basarili,1
Pro2 Plus,0.6,0.28,219,111,35,249.0,ABS,81,Cubic,0,Yok,Warping (Kasa Acik),0
Ender-3 V3 KE,0.4,0.28,267,55,21,382.0,ASA,64,Grid,0,Yok,Warping (Kasa Acik),0
Bambu Lab P1S,0.8,0.2,226,55,50,113.0,ABS,90,Lightning,1,Yok,Basarili,1
Ender-3,0.4,0.16,244,67,38,174.0,Recine_UV,44,Gyroid,1,Yok,Basarili,1
Bambu Lab A1 Mini,0.4,0.08,238,90,30,308.0,Recine_UV,19,Gyroid,0,Normal,Basarili,1
Creality K1C,0.6,0.16,223,95,33,389.0,TPU,99,Gyroid,0,Yok,Tikanma (Yetersiz Akis),0
Bambu Lab X1 Carbon,0.4,0.16,233,96,44,117.0,ASA,11,Gyroid,0,Tree,Basarili,1
Creality K1C,0.8,0.16,211,91,26,419.0,ABS,43,Cubic,1,Normal,Tikanma (Yetersiz Akis),0
Ender-3 V3 SE,0.2,0.28,220,85,34,164.0,Recine_UV,55,Lightning,1,Normal,Basarili,1
Ender-3 V3 KE,0.8,0.28,196,77,49,77.0,ASA,11,Cubic,0,Yok,Warping (Kasa Acik),0
Bambu Lab A1 Mini Combo,0.2,0.12,210,87,50,308.0,PETG,16,Lightning,0,Tree,Tikanma (Yetersiz Akis),0
Bambu Lab P1S Combo,0.6,0.08,205,80,43,349.0,Recine_UV,18,Grid,0,Normal,Tikanma (Yetersiz Akis),0
Creality K1C,0.4,0.2,209,98,44,,PLA,38,Lightning,1,Tree,Basarili,1
Bambu Lab A1 Combo,0.8,0.16,232,106,27,83.0,ABS,43,Gyroid,1,Yok,Warping (Kasa Acik),0
Bambu Lab X1 Carbon,0.2,0.08,233,113,49,,Recine_UV,77,Cubic,0,Yok,Basarili,1
Elegoo Neptune 4 Pro,0.4,0.08,236,105,55,281.0,TPU,68,Gyroid,0,Yok,Basarili,1
Creality K1C,0.8,0.12,208,66,33,436.0,ABS,16,Lightning,0,Yok,Tikanma (Yetersiz Akis),0
Sidewinder X4 Plus,0.4,0.2,237,71,48,192.0,PLA,38,Lightning,0,Yok,Basarili,1
Ender-3 V2,0.4,0.16,268,95,46,63.0,ABS,31,Grid,0,Tree,Warping (Kasa Acik),0
